"IDinventario","Nombre","Fecha y hora","Tipo","Total","Descuento","createdAt","updatedAt"
"d91d2c81","Mezclas","2025-08-31 11:14:00","SALIDAS","$0.00","$0.00",NULL,NULL
"daba72c5","Mezclas","2025-12-06 15:03:00","SALIDAS","$0.00","$0.00",NULL,NULL
"db1d9e10","Mezclas","2024-12-26 14:08:00","SALIDAS","$0.00","$0.00",NULL,NULL
"db36ae0d","Mezclas","2024-12-06 19:01:00","SALIDAS","$0.00","$0.00",NULL,NULL
"dba13c6c","Mezclas","2024-12-19 09:28:00","SALIDAS","$0.00","$0.00",NULL,NULL
"dc030153","Mezclas","2025-03-05 15:34:00","SALIDAS","$0.00","$0.00",NULL,NULL
"ddbec49e","Mezclas","2025-08-28 14:16:00","SALIDAS","$0.00","$0.00",NULL,NULL
"ddc4b49a","Mezclas","2025-01-04 14:07:00","SALIDAS","$0.00","$0.00",NULL,NULL
"de47824f","Mezclas","2025-06-15 13:32:00","SALIDAS","$0.00","$0.00",NULL,NULL
"de55b7ed","Mezclas","2025-12-22 15:24:00","SALIDAS","$0.00","$0.00",NULL,NULL
"de5c26d1","Vasos","2025-04-05 15:55:00","ENTRADAS","$142,300.00","$200.00",NULL,NULL
"decc8149","Mezclas","2025-05-18 13:17:00","SALIDAS","$0.00","$0.00",NULL,NULL
"dee6abf0","Chicles y vasos","2025-05-10 10:02:00","ENTRADAS","$0.00","$0.00",NULL,NULL
"df2cebf1","Mezclas","2025-07-24 14:20:00","SALIDAS","$0.00","$0.00",NULL,NULL
"df71c758","Mezclas","2025-05-02 13:38:00","SALIDAS","$0.00","$0.00",NULL,NULL
"dfaa0334","Mezclas","2025-02-26 14:46:00","SALIDAS","$0.00","$0.00",NULL,NULL
"dfcf68b0","Mezclas","2025-04-20 13:17:00","SALIDAS","$0.00","$0.00",NULL,NULL
"e12087c7","Mezclas","2025-08-30 14:12:00","SALIDAS","$0.00","$0.00",NULL,NULL
"e16fec40","Mezclas","2025-08-20 15:40:00","SALIDAS","$0.00","$0.00",NULL,NULL
"e19afb1c","Dulces","2025-03-02 18:59:00","ENTRADAS","$0.00","$0.00",NULL,NULL
"e1f14a55","Mezclas","2025-08-17 13:14:00","SALIDAS","$0.00","$0.00",NULL,NULL
"e239bc15","Gomas","2024-12-26 08:17:00","ENTRADAS","$0.00","$0.00",NULL,NULL
"e29f77ed","Mezclas","2025-03-24 12:33:00","SALIDAS","$0.00","$0.00",NULL,NULL
"e2fb14da","Mezclas CALI","2025-06-18 13:48:00","ENTRADAS","$7,906,360.00","$549,640.00",NULL,NULL
"e30b595f","Dulces","2025-03-08 08:42:00","ENTRADAS","$0.00","$0.00",NULL,NULL
"e3a79262","Mezclas","2025-10-29 16:56:00","SALIDAS","$0.00","$0.00",NULL,NULL
"e407c749","Pitillos y vasos","2025-01-11 07:51:00","ENTRADAS","$25,000.00","$200.00",NULL,NULL
"e43febac","Vasos","2025-02-27 16:35:00","ENTRADAS","$0.00","$0.00",NULL,NULL
"e49a69ce","Chicle, barquillo y cintas","2024-11-16 11:49:00","ENTRADAS","$285,800.00","$200.00",NULL,NULL
"e5a6e6fa","Mezclas","2025-07-30 15:14:00","SALIDAS","$0.00","$0.00",NULL,NULL
"e5c0af93","Mezclas","2025-11-15 14:12:00","SALIDAS","$0.00","$0.00",NULL,NULL
"e5df6ed2","Mezclas","2025-12-27 01:35:00","SALIDAS","$0.00","$0.00",NULL,NULL
"e61e1186","Mezclas","2025-12-10 17:47:00","SALIDAS","$0.00","$0.00",NULL,NULL
"e6321e4c","Dulces y vasos","2025-05-20 20:24:00","ENTRADAS","$0.00","$0.00",NULL,NULL
"e64e0ffd","Mezclas","2025-02-23 13:09:00","SALIDAS","$0.00","$0.00",NULL,NULL
